336	165	26	61
335	166	30	58
333	164	34	60
330	167	35	63
334	168	27	57
294	169	30	64
310	159	28	67
329	159	32	66
326	159	33	70
333	167	36	72
332	168	33	69
329	165	31	68
328	167	26	67
322	168	28	64
323	167	30	72
330	160	29	77
291	153	39	83
288	149	46	91
288	149	46	91
288	149	46	91
244	135	47	95
244	135	47	95
240	128	46	96
237	129	45	104
237	125	47	99
230	123	46	107
175	132	53	98
115	135	41	94
115	135	41	94
115	135	41	94
115	135	41	94
115	135	41	94
115	135	41	94
115	135	41	94
115	135	41	94
161	100	36	91
161	100	36	91
161	100	36	91
169	109	38	102
133	90	44	95
133	90	44	95
133	90	44	95
133	90	44	95
133	90	44	95
93	82	44	91
85	79	37	82
88	77	41	92
70	79	43	88
64	74	34	78
64	74	34	78
48	70	37	72
33	67	31	65
38	67	38	55
25	69	45	49
14	67	49	53
3	64	47	52
3	60	41	52
2	59	39	48
2	59	39	48
2	59	39	48
2	59	39	48
2	59	39	48
2	59	39	48
2	59	39	48
2	59	39	48
2	59	39	48
2	59	39	48
2	59	39	48
2	59	39	48
2	59	39	48
2	59	39	48
2	59	39	48
94	16	45	55
94	16	45	55
94	16	45	55
94	16	45	55
94	16	45	55
116	23	58	53
116	23	58	53
116	23	58	53
116	23	58	53
116	23	58	53
116	23	58	53
116	23	58	53
116	23	58	53
116	23	58	53
116	23	58	53
116	23	58	53
116	23	58	53
116	23	58	53
116	23	58	53
116	23	58	53
116	23	58	53
116	23	58	53
116	23	58	53
116	23	58	53
116	23	58	53
116	23	58	53
116	23	58	53
116	23	58	53
116	23	58	53
116	23	58	53
130	30	52	59
130	30	52	59
130	30	52	59
130	30	52	59
130	30	52	59
130	30	52	59
130	30	52	59
130	30	52	59
201	160	50	47
219	165	40	55
216	163	34	61
226	162	26	59
229	163	22	65
230	160	27	60
229	163	28	62
231	159	26	64
294	164	23	65
366	153	27	65
365	146	27	74
362	145	31	82
437	123	33	68
362	150	33	72
360	146	32	70
294	158	29	67
234	162	27	67
232	163	29	70
235	161	27	71
232	164	31	75
236	166	34	73
238	171	33	77
238	168	32	81
240	169	28	76
242	168	30	71
242	167	29	69
242	170	29	68
243	168	31	69
245	169	31	73
245	172	32	77
248	177	35	74
251	175	29	71
254	176	27	72
249	175	31	77
254	176	29	71
256	173	28	75
261	176	26	70
261	176	27	68
263	175	26	68
267	181	27	74
267	180	32	73
266	178	34	77
267	177	30	74
264	179	28	67
267	178	29	71
265	178	29	66
265	175	29	67
266	174	24	65
265	174	25	69
263	174	28	77
264	179	32	77
264	180	29	74
269	179	30	74
266	181	32	69
269	182	29	58
275	181	25	61
276	179	29	63
279	181	29	63
289	182	28	67
289	183	31	68
296	182	31	73
297	188	35	68
303	184	33	78
303	184	32	78
303	180	32	81
311	180	27	71
312	178	27	63
314	175	26	66
315	175	25	64
314	175	28	67
313	174	29	69
312	175	36	74
314	175	35	77
314	178	35	71
314	182	30	69
319	183	32	61
320	186	32	59
319	185	28	63
319	186	32	70
317	185	33	67
317	187	28	70
314	193	31	68
315	194	25	57
315	191	21	59
310	191	25	56
307	196	27	51
308	197	21	49
308	196	22	49
307	196	21	49
308	196	20	53
308	197	19	54
309	196	20	52
308	196	21	57
312	192	22	52
312	197	27	50
312	196	23	48
313	192	21	50
313	191	21	47
313	192	23	49
311	187	22	54
310	187	20	51
308	189	20	52
307	193	25	51
305	190	32	52
302	188	34	52
305	193	31	49
307	192	28	45
310	194	24	46
313	189	18	49
314	193	19	45
315	192	19	49
315	192	18	49
315	194	17	45
315	196	18	47
314	197	22	49
310	196	27	51
311	195	31	47
314	198	29	48
318	197	21	50
320	195	20	50
322	195	18	46
322	192	18	50
326	192	18	50
327	197	22	54
331	192	18	50
335	198	18	47
342	199	17	46
346	199	21	46
352	197	25	45
367	195	24	47
376	193	19	47
380	194	18	48
387	193	18	46
396	193	19	46
400	192	21	48
404	188	16	48
409	202	20	48
411	189	18	50
413	189	19	50
412	190	22	51
413	187	20	45
413	190	23	40
412	191	24	43
412	187	20	46
413	191	20	45
410	190	18	44
410	196	19	47
410	197	24	52
406	196	25	56
406	193	24	61
405	195	20	57
404	193	20	59
404	192	27	62
402	193	26	66
401	193	27	72
399	191	31	77
398	190	29	77
397	189	27	80
396	191	26	77
394	189	29	74
391	188	29	74
394	188	27	69
391	188	29	69
392	186	26	69
390	185	24	72
390	180	26	62
391	179	25	67
393	180	27	71
390	178	33	68
387	183	37	71
387	184	39	76
388	184	35	77
388	182	33	75
391	182	31	80
391	179	27	80
394	179	29	79
393	179	33	75
394	178	32	78
394	183	32	75
400	177	26	83
400	175	27	79
399	178	28	76
397	178	31	78
395	179	36	76
394	183	36	71
393	184	34	71
392	186	35	75
391	189	34	73
391	184	29	80
389	182	30	80
387	182	29	80
384	184	30	74
379	185	29	71
375	187	29	69
371	190	28	67
368	188	29	67
364	191	30	76
362	192	30	81
358	190	32	81
358	195	28	78
357	198	29	77
356	203	29	77
356	204	26	76
356	198	28	83
354	199	30	83
355	202	33	76
353	205	37	73
357	205	30	74
357	206	33	73
358	208	32	72
361	205	32	69
366	208	28	61
369	207	27	69
367	208	28	75
370	208	28	72
375	210	26	68
378	210	24	71
381	209	23	77
381	208	28	81
380	209	30	80
383	207	28	79
383	209	27	76
385	213	28	75
385	215	28	72
393	210	21	81
397	208	19	82
397	206	21	84
399	205	20	78
402	211	21	75
402	210	24	76
403	215	30	75
402	210	32	82
403	215	26	75
406	210	24	71
407	216	26	66
407	214	27	70
408	214	28	70
407	212	27	70
408	212	25	70
407	212	27	72
